"id","longitude","latitude","a_weight","b_weight","type","dp_type"
"PID.4000161",-112.102999136,33.5098965873,1607.028,535.676023,"demand point",4
"PID.4000162",-112.013769919,33.627135723,1607.028,535.676023,"demand point",4
"PID.4000163",-112.073230324,33.4508849135,1607.028,535.676023,"demand point",4
"PID.4000164",-112.168965776,33.3769523703,1607.028,535.676023,"demand point",4
"PID.4000165",-112.253853906,33.4808877986,1607.028,535.676023,"demand point",4
"PID.4000166",-112.100726557,33.4508512552,1607.028,535.676023,"demand point",4
"PID.4000167",-112.030832793,33.3787033227,1607.028,535.676023,"demand point",4
"PID.4000168",-112.098385957,33.5744896106,1607.028,535.676023,"demand point",4
"PID.4000169",-112.085055817,33.4474553052,1607.028,535.676023,"demand point",4
"PID.4000170",-112.059945316,33.4767901683,1607.028,535.676023,"demand point",4
"PID.4000171",-112.259668395,33.4650319923,1607.028,535.676023,"demand point",4
"PID.4000172",-112.175792707,33.6320721426,1607.028,535.676023,"demand point",4
"PID.4000173",-112.124076526,33.4948966654,1607.028,535.676023,"demand point",4
"PID.4000174",-111.99629259,33.392061618,1607.028,535.676023,"demand point",4
"PID.4000175",-112.082333739,33.4219621295,1607.028,535.676023,"demand point",4
"PID.4000176",-112.098037229,33.4394795459,1607.028,535.676023,"demand point",4
"PID.4000177",-112.220479768,33.5090008536,1607.028,535.676023,"demand point",4
"PID.4000178",-111.912952742,33.4219461241,1607.028,535.676023,"demand point",4
"PID.4000179",-112.168665709,33.5963611307,1607.028,535.676023,"demand point",4
"PID.4000180",-112.153565517,33.5537107457,1607.028,535.676023,"demand point",4
"PID.4000181",-112.085974999,33.4453475287,1607.028,535.676023,"demand point",4
"PID.4000182",-111.921705053,33.3906774848,1607.028,535.676023,"demand point",4
"PID.4000183",-112.087005972,33.4460152251,1607.028,535.676023,"demand point",4
"PID.4000184",-112.113123331,33.5236347527,1607.028,535.676023,"demand point",4
"PID.4000185",-112.100105003,33.4469981531,1607.028,535.676023,"demand point",4
"PID.4000186",-112.134355132,33.4072769561,1607.028,535.676023,"demand point",4
"PID.4000187",-112.294615479,33.4352521038,1607.028,535.676023,"demand point",4
"PID.4000188",-112.345958105,33.4200324427,1607.028,535.676023,"demand point",4
"PID.4000189",-112.187005605,33.4801168145,1607.028,535.676023,"demand point",4
"PID.4000190",-112.106025071,33.4600143656,1607.028,535.676023,"demand point",4
"PID.4000191",-112.255088666,33.5375788411,1607.028,535.676023,"demand point",4
"PID.4000192",-112.013515571,33.4724527068,1607.028,535.676023,"demand point",4
"PID.4000193",-111.825550159,33.5024807929,1607.028,535.676023,"demand point",4
"PID.4000194",-112.340921868,33.4436463275,1607.028,535.676023,"demand point",4
"PID.4000195",-112.121354047,33.5789761722,1607.028,535.676023,"demand point",4
"PID.4000196",-112.135004188,33.4220747413,1607.028,535.676023,"demand point",4
"PID.4000197",-111.966326239,33.3193869412,1607.028,535.676023,"demand point",4
"PID.4000198",-111.899615265,33.4145358275,1607.028,535.676023,"demand point",4
"PID.4000199",-112.077721766,33.4547295202,1607.028,535.676023,"demand point",4
"PID.4000200",-112.134264042,33.5963283114,1607.028,535.676023,"demand point",4
"PID.4000201",-112.201156891,33.473176002,1607.028,535.676023,"demand point",4
"PID.4000202",-112.310845499,33.5925072499,1607.028,535.676023,"demand point",4
"PID.4000203",-112.000510229,33.4479555384,1607.028,535.676023,"demand point",4
"PID.4000204",-112.034655846,33.436788388,1607.028,535.676023,"demand point",4
"PID.4000205",-111.927803361,33.4482556766,1607.028,535.676023,"demand point",4
"PID.4000206",-112.116965432,33.5964078639,1607.028,535.676023,"demand point",4
"PID.4000207",-112.173269561,33.5862364238,1607.028,535.676023,"demand point",4
"PID.4000208",-112.108506376,33.4950328021,1607.028,535.676023,"demand point",4
"PID.4000209",-112.186276259,33.6543491753,1607.028,535.676023,"demand point",4
"PID.4000210",-112.220581625,33.462786983,1607.028,535.676023,"demand point",4
"PID.4000211",-112.289929422,33.6027123198,1607.028,535.676023,"demand point",4
"PID.4000212",-112.120414745,33.6112203299,1607.028,535.676023,"demand point",4
"PID.4000213",-112.270892929,33.4637191468,1607.028,535.676023,"demand point",4
"PID.4000214",-111.832759838,33.4005614743,1607.028,535.676023,"demand point",4
"PID.4000215",-112.108758863,33.4469599438,1607.028,535.676023,"demand point",4
"PID.4000216",-112.034649606,33.4657775193,1607.028,535.676023,"demand point",4
"PID.4000217",-112.07513389,33.4514043843,1607.028,535.676023,"demand point",4
"PID.4000218",-112.170046908,33.4660354119,1607.028,535.676023,"demand point",4
"PID.4000219",-111.911261211,33.291553732,1607.028,535.676023,"demand point",4
"PID.4000220",-111.7539,33.2814999996,1607.028,535.676023,"demand point",4
"PID.4000221",-112.3103,33.4946999997,1607.028,535.676023,"demand point",4
