OBJECTID,Name,FacilityTy,Weight,Capacity,DemandCoun,DemandWeig,SourceID,SourceOID,PosAlong,SideOfEdge,CurbApproa,Status,SnapX,SnapY,SnapZ,DistanceTo,Total_Leng,Total_Time,TotalWeigh,TotalWei_1,POINT_X,POINT_Y
11,FaID.0012,1,1.000000000000000,0.000000000000000,33,36961.644000000000233,1,99773,0.523911701196000,1,0,0,694063.800689999945462,873112.737778999959119,0.000000000000000,34.160570250600003,134831.268502999999328,0.000000000000000,150386866.937999993562698,0.000000000000000,-111.936124599999999,33.399825945800004
12,FaID.0019,1,1.000000000000000,0.000000000000000,27,14466.052200000000084,1,48283,0.837529381428000,2,0,0,661372.515782000031322,911519.934786000056192,0.000000000000000,37.026733775799997,102979.611067999998340,0.000000000000000,55238806.306400001049042,0.000000000000000,-112.043411312999993,33.505962265599997
13,FaID.0020,1,1.000000000000000,0.000000000000000,63,29469.460520000000542,1,27775,0.602426524541000,1,0,0,644682.855605000047944,965786.870927999960259,0.000000000000000,48.006647018300001,209315.044756999996025,0.000000000000000,75715932.478799998760223,0.000000000000000,-112.098478677000003,33.654270296000000
14,FaID.0021,1,1.000000000000000,0.000000000000000,0,0.000000000000000,1,190758,0.183979068043000,1,0,0,619723.776964999968186,967541.704400000046007,0.000000000000000,41.373409052600003,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-112.180060177000001,33.659387276499999
15,FaID.0022,1,1.000000000000000,0.000000000000000,0,0.000000000000000,1,35498,0.178511890799000,2,0,0,592740.706122000003234,973148.868019000045024,0.000000000000000,88.014621675200004,0.000000000000000,0.000000000000000,0.000000000000000,0.000000000000000,-112.269245405000007,33.675360332200000
16,FaID.0024,1,1.000000000000000,0.000000000000000,1,1339.190000000000055,1,18216,0.845013915489000,1,0,0,516715.524616000009701,886567.946297000045888,0.000000000000000,129.027478682000009,4221.391372179999962,0.000000000000000,5653245.111720000393689,0.000000000000000,-112.517494029999995,33.434497074200003
17,FaID.0025,1,1.000000000000000,0.000000000000000,79,40184.100599999997939,1,75953,0.021998810212300,2,0,0,724194.409630000009201,837931.849958000006154,0.000000000000000,28.448497012899999,225002.928476000000956,0.000000000000000,78578896.581100001931190,0.000000000000000,-111.837792192999999,33.303421268000001
18,FaID.0026,1,1.000000000000000,0.000000000000000,2894,3831693.414880000054836,1,160265,0.137457766474000,2,0,0,647711.248753999941982,889642.342285000020638,0.000000000000000,38.420344141599998,2489157.088330000173301,0.000000000000000,3236464984.619999885559082,0.000000000000000,-112.088515350999998,33.445446759799999
19,FaID.0028,1,1.000000000000000,0.000000000000000,1,1339.190000000000055,1,223035,0.315435999047000,2,0,0,632329.630928999977186,982110.832336000050418,0.000000000000000,31.996455287300002,2264.425255959999959,0.000000000000000,3032495.658530000131577,0.000000000000000,-112.139523025000003,33.699533415200001
20,FaID.0029,1,1.000000000000000,0.000000000000000,115,89733.943920000005164,1,112667,1.000000000000000,2,0,0,727503.729658999945968,881881.160105000017211,0.000000000000000,104.254137994999994,318868.891485999978613,0.000000000000000,207408835.238000005483627,0.000000000000000,-111.825727849000003,33.424858169399997
21,FaID.0030,1,1.000000000000000,0.000000000000000,141,62690.893199999998615,1,178238,0.691029729052000,2,0,0,665602.129039000021294,895067.338148999959230,0.000000000000000,22.920018350900001,457005.597204999998212,0.000000000000000,192007219.627000004053116,0.000000000000000,-112.029472287000004,33.460630748500002
