OBJECTID,PointID,FIPS,parcelsamp,RPL_THEMES,RelativeRi,Relative_1,APN,DBT_BEGIN,BEGIN_DATE,FLOOR,ADDRESS,AREA,Shape_Leng,POINT_X,POINT_Y
1811,PID.0801150,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820370,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5214 W FREEWAY LN,7406.000000000000000,348.125726358000009,-112.171713987000004,33.562046517500001
1812,PID.0572638,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820123,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5432 W ALICE AVE,8276.000000000000000,367.903624587000024,-112.176781922000004,33.565039506300003
1813,PID.0983848,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14818030,2008-10-13 19:00:00,1997-12-30 18:00:00,1,5788 W ALICE AVE,8079.000000000000000,370.235423723999986,-112.184073103000003,33.564778948099999
1814,PID.0521697,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14829093,2008-10-13 19:00:00,2004-03-21 18:00:00,1,8040 N 56TH LN,7154.000000000000000,360.583342497999979,-112.181644773000002,33.554801490999999
1815,PID.0818759,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14818175,2008-10-13 19:00:00,1997-12-30 18:00:00,1,5818 W PUGET AVE,8801.000000000000000,430.755867164999984,-112.185121375999998,33.567068523000003
1816,PID.0654662,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14815043,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8204 N 57TH DR,10682.000000000000000,418.039856917000009,-112.182621342000004,33.555305097800002
1817,PID.0083903,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14813073,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8431 N 51ST DR,8438.000000000000000,376.746166483000025,-112.169263239000003,33.559556387800001
1818,PID.0148918,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14815028,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8119 N 57TH DR,13026.000000000000000,473.680262391999975,-112.182088225000001,33.554778255099997
1819,PID.0026606,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820413,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5215 W DIANA AVE,7200.000000000000000,344.000086063000026,-112.171794052999999,33.563006979400001
1820,PID.0886299,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14820013,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5301 W PUGET AVE,15334.000000000000000,477.707668606000027,-112.173691715999993,33.566848647900002
1821,PID.0883140,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14813058,2008-10-13 19:00:00,2036-02-07 00:28:16,1,5115 W ROYAL PALM RD,8456.000000000000000,374.764770267000017,-112.169702591000004,33.556637739800003
1822,PID.0355531,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14813535,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8438 N 54TH DR,1664.000000000000000,187.130408988999989,-112.176240804000003,33.559211574499997
1823,PID.0682339,04013092307,56.000000000000000,0.797700000000000,0.186680000000000,0.186680000000000,14815019,2008-10-13 19:00:00,2036-02-07 00:28:16,1,8020 N 57TH DR,12115.000000000000000,444.558060291000004,-112.183277232999998,33.553980599100001
