"id","longitude","latitude","address","type"
"FaID.0167",-111.94291006,33.7325690653,"27219 N 64TH ST SCOTTSDALE AZ 85266","candidate location"
"FaID.0168",-111.922140486,33.479727972,"2729 N FIESTA ST SCOTTSDALE AZ 85257","candidate location"
"FaID.0169",-111.81370913,33.4273066167,"645 N HORNE MESA AZ 85203","candidate location"
"FaID.0170",-112.083147174,33.4396441552,"810 S 7TH AVE PHOENIX AZ 85007","candidate location"
"FaID.0171",-112.126480952,33.5908029201,"3120 W CHOLLA ST PHOENIX AZ 85029","candidate location"
"FaID.0172",-111.63392539,33.4037310763,"612 S ELLSWORTH RD MESA AZ 85208","candidate location"
"FaID.0173",-111.925104038,33.6148247928,"14415 N SCOTTSDALE RD SCOTTSDALE AZ 85254","candidate location"
"FaID.0174",-111.748769074,33.4080358327,"3815 E BROADWAY RD MESA AZ 85206","candidate location"
"FaID.0175",-111.853389797,33.2337740227,"800 W CHANDLER HEIGHTS RD CHANDLER AZ 85248","candidate location"
"FaID.0176",-112.13812274,33.5381265294,"3643 W GLENDALE AVE PHOENIX AZ 85051","candidate location"
"FaID.0177",-112.336437721,33.629394224,"12844 W SANTA FE DR SURPRISE AZ 85378","candidate location"
"FaID.0178",-112.008314101,33.6066074336,"13221 N 34TH ST PHOENIX AZ 85032","candidate location"
"FaID.0179",-112.088076102,33.43339551,"1202 W PIMA ST PHOENIX AZ 85007","candidate location"
"FaID.0180",-111.966861793,33.6111812345,"5301 E THUNDERBIRD RD SCOTTSDALE AZ 85254","candidate location"
"FaID.0181",-111.910906176,33.4974184462,"7901 E HEATHERBRAE AVE SCOTTSDALE AZ 85251","candidate location"
"FaID.0182",-111.895286786,33.3404383996,"8333 S RIVER PKWY TEMPE AZ 85284","candidate location"
"FaID.0183",-111.951980579,33.4174678077,"1101 S HARDY DR TEMPE AZ 85281","candidate location"
"FaID.0184",-111.601703298,33.3540073272,"3440 S SIGNAL BUTTE RD MESA AZ 85212","candidate location"
"FaID.0185",-112.296029267,33.4910820839,"10930 W GARDEN LAKES PKWY AVONDALE AZ 85392","candidate location"
"FaID.0186",-111.774103694,33.3497647533,"777 E ELLIOT RD GILBERT AZ 85234","candidate location"
"FaID.0187",-112.341423233,33.5831024615,"10833 N DYSART RD EL MIRAGE AZ 85335","candidate location"
"FaID.0188",-112.258176586,33.606557873,"13450 N PLAZA DEL RIO BLVD PEORIA AZ 85381","candidate location"
"FaID.0189",-111.851019389,33.4766902476,"10657 E VIRGINIA AVE SCOTTSDALE AZ 85256","candidate location"
"FaID.0190",-111.924706215,33.7534536051,"29505 N SCOTTSDALE RD SCOTTSDALE AZ 85266","candidate location"
"FaID.0191",-112.177151467,33.4897058108,"3637 N 55TH AVE PHOENIX AZ 85031","candidate location"
"FaID.0192",-111.800568413,33.3926688852,"1415 E SOUTHERN AVE MESA AZ 85204","candidate location"
"FaID.0193",-111.875305313,33.3138379375,"1950 W GALVESTON ST CHANDLER AZ 85224","candidate location"
"FaID.0194",-112.003782564,33.4736599484,"2409 N 36TH ST PHOENIX AZ 85008","candidate location"
"FaID.0195",-111.887074598,33.4106235445,"235 S EL DORADO CIR MESA AZ 85202","candidate location"
"FaID.0196",-112.253340891,33.5263845698,"6115 N 91ST AVE GLENDALE AZ 85305","candidate location"
"FaID.0197",-111.976454189,33.3476887956,"5051 E ELLIOT RD PHOENIX AZ 85044","candidate location"
"FaID.0198",-111.926815363,33.4911587389,"7145 E 2ND ST SCOTTSDALE AZ 85251","candidate location"
"FaID.0199",-111.896512526,33.6461166248,"8550 E PRINCESS DR SCOTTSDALE AZ 85255","candidate location"
"FaID.0200",-111.754619843,33.3321384013,"1015 S VAL VISTA DR GILBERT AZ 85296","candidate location"
"FaID.0201",-112.331167185,33.6666008756,"12580 W BEARDSLEY RD SUN CITY WEST AZ 85375","candidate location"
"FaID.0202",-112.139859021,33.8530481251,"40410 N GAVILAN PEAK PKWY PHOENIX AZ 85086","candidate location"
"FaID.0203",-111.90764267,33.5753980439,"8050 E MOUNTAIN VIEW RD SCOTTSDALE AZ 85258","candidate location"
"FaID.0204",-112.08402894,33.4855074832,"821 W FLOWER ST PHOENIX AZ 85013","candidate location"
"FaID.0205",-111.845333159,33.4389390759,"660 W FAIRWAY DR MESA AZ 85201","candidate location"
"FaID.0206",-112.202434112,33.5303675633,"6401 N 67TH AVE GLENDALE AZ 85301","candidate location"
"FaID.0207",-111.894642901,33.3245844761,"1200 N PRICE RD CHANDLER AZ 85226","candidate location"
"FaID.0208",-111.60605541,33.3795334256,"10434 E BASELINE RD MESA AZ 85209","candidate location"
"FaID.0209",-111.700593769,33.4132842391,"6033 E ARBOR AVE MESA AZ 85206","candidate location"
"FaID.0210",-112.489110642,33.4652608394,"19956 W MCDOWELL RD BUCKEYE AZ 85396","candidate location"
"FaID.0211",-112.109515214,33.596787086,"2340 W CACTUS RD PHOENIX AZ 85029","candidate location"
"FaID.0212",-111.764937488,33.3205512203,"1155 E RAY RD GILBERT AZ 85296","candidate location"
"FaID.0213",-112.05308967,33.4850815255,"1316 E CHEERY LYNN RD PHOENIX AZ 85014","candidate location"
"FaID.0214",-112.343055204,33.6449475344,"13131 W SPANISH GARDEN DR SUN CITY WEST AZ 85375","candidate location"
"FaID.0215",-112.070765312,33.3746772615,"222 E OLYMPIC DR PHOENIX AZ 85042","candidate location"
"FaID.0216",-112.291249265,33.6010808394,"10725 W OAKMONT DR SUN CITY AZ 85351","candidate location"
"FaID.0217",-111.725312547,33.3346740123,"3015 E WARNER RD GILBERT AZ 85296","candidate location"
"FaID.0218",-111.908052428,33.5779986068,"10180 N HAYDEN RD SCOTTSDALE AZ 85258","candidate location"
"FaID.0219",-111.958046779,33.4094655355,"1801 S CUTLER DR TEMPE AZ 85281","candidate location"
"FaID.0220",-111.827405259,33.3809186089,"222 E JAVELINA AVE MESA AZ 85210","candidate location"
"FaID.0221",-111.890489107,33.5892078684,"8849 E CHOLLA ST SCOTTSDALE AZ 85260","candidate location"
"FaID.0222",-112.127479992,33.6259475675,"3220 W GREENWAY RD PHOENIX AZ 85053","candidate location"
"FaID.0223",-112.080573669,33.4565476592,"505 W MCKINLEY ST PHOENIX AZ 85003","candidate location"
"FaID.0224",-112.158872853,33.4873749598,"4633 W OSBORN RD PHOENIX AZ 85031","candidate location"
"FaID.0225",-112.157252426,33.6384708098,"4645 W BELL RD GLENDALE AZ 85308","candidate location"
"FaID.0226",-111.628612579,33.4444849313,"9390 E MCLELLAN RD MESA AZ 85207","candidate location"
